Feature Name,Importance Score,Normalized Importance,Notes
cam1_car_count,0.03344393810837811,0.03344393810837811,Additional traffic pattern indicator
cam1_queue_length,0.028812029228871286,0.028812029228871286,Estimated queue length - critical for delay classification
cam1_stopped_vehicles,0.027868502154295746,0.027868502154295746,Additional traffic pattern indicator
cam1_speed_variance,0.026983268922937283,0.026983268922937283,Average speed estimate - lower speeds indicate congestion
cam1_avg_vehicle_speed,0.023680488863310686,0.023680488863310686,Average speed estimate - lower speeds indicate congestion
cam1_directional_flow_right,0.021777341284879306,0.021777341284879306,Additional traffic pattern indicator
cam1_flow_rate,0.02050118385290981,0.02050118385290981,Vehicles per time unit - throughput measure
cam1_truck_count,0.020024299345072914,0.020024299345072914,Additional traffic pattern indicator
cam1_directional_flow_down,0.019414133066091615,0.019414133066091615,Additional traffic pattern indicator
cam1_directional_flow_left,0.018634857650764072,0.018634857650764072,Additional traffic pattern indicator
cam3_avg_vehicle_speed,0.018427259040396913,0.018427259040396913,Average speed estimate - lower speeds indicate congestion
cam1_scene_embedding_mean,0.01838400386706072,0.01838400386706072,Additional traffic pattern indicator
cam3_directional_flow_right,0.018239693671530707,0.018239693671530707,Additional traffic pattern indicator
cam3_directional_flow_down,0.018090301313263873,0.018090301313263873,Additional traffic pattern indicator
cam1_vehicles_exiting,0.017025763731870803,0.017025763731870803,Additional traffic pattern indicator
cam1_motion_entropy,0.01687773565292165,0.01687773565292165,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam3_flow_rate,0.01635297009171816,0.01635297009171816,Vehicles per time unit - throughput measure
cam4_vehicles_exiting,0.015760750060825595,0.015760750060825595,Additional traffic pattern indicator
cam3_vehicles_entering,0.015393882132582158,0.015393882132582158,Additional traffic pattern indicator
cam3_vehicles_exiting,0.01527984171945659,0.01527984171945659,Additional traffic pattern indicator
cam4_bus_count,0.015184404264684388,0.015184404264684388,Additional traffic pattern indicator
cam3_vehicles_in_lanes_left,0.014123666104229897,0.014123666104229897,Additional traffic pattern indicator
cam4_occupancy_by_zone_center,0.013749177982940806,0.013749177982940806,Measures road space occupied by vehicles - key congestion indicator
cam3_directional_flow_up,0.013672732736523568,0.013672732736523568,Additional traffic pattern indicator
cam4_vehicles_entering,0.013560670612756504,0.013560670612756504,Additional traffic pattern indicator
cam3_queue_length,0.013428107836875681,0.013428107836875681,Estimated queue length - critical for delay classification
cam3_occupancy_by_zone_center,0.01339499159048473,0.01339499159048473,Measures road space occupied by vehicles - key congestion indicator
cam1_avg_motion_magnitude,0.013219232796058682,0.013219232796058682,Vehicle movement patterns - distinguishes flowing vs stopped traffic
cam3_density_score,0.013219147368792317,0.013219147368792317,Additional traffic pattern indicator
