segment_id,congestion_enter_rating,congestion_exit_rating,cam3_vehicle_count,cam3_car_count,cam3_truck_count,cam3_motorcycle_count,cam3_bus_count,cam3_avg_vehicle_speed,cam3_speed_variance,cam3_stopped_vehicles,cam3_vehicles_entering,cam3_vehicles_exiting,cam3_vehicles_in_lanes_left,cam3_vehicles_in_lanes_center,cam3_vehicles_in_lanes_right,cam3_vehicles_in_lanes_top,cam3_vehicles_in_lanes_middle,cam3_vehicles_in_lanes_bottom,cam3_occupancy_by_zone_left,cam3_occupancy_by_zone_center,cam3_occupancy_by_zone_right,cam3_occupancy_by_zone_top,cam3_occupancy_by_zone_middle,cam3_occupancy_by_zone_bottom,cam3_scene_embedding_mean,cam3_scene_embedding_std,cam3_scene_complexity,cam3_avg_motion_magnitude,cam3_motion_entropy,cam3_directional_flow_left,cam3_directional_flow_right,cam3_directional_flow_up,cam3_directional_flow_down,cam3_density_score,cam3_queue_length,cam3_flow_rate,cam4_vehicle_count,cam4_car_count,cam4_truck_count,cam4_motorcycle_count,cam4_bus_count,cam4_avg_vehicle_speed,cam4_speed_variance,cam4_stopped_vehicles,cam4_vehicles_entering,cam4_vehicles_exiting,cam4_vehicles_in_lanes_left,cam4_vehicles_in_lanes_center,cam4_vehicles_in_lanes_right,cam4_vehicles_in_lanes_top,cam4_vehicles_in_lanes_middle,cam4_vehicles_in_lanes_bottom,cam4_occupancy_by_zone_left,cam4_occupancy_by_zone_center,cam4_occupancy_by_zone_right,cam4_occupancy_by_zone_top,cam4_occupancy_by_zone_middle,cam4_occupancy_by_zone_bottom,cam4_scene_embedding_mean,cam4_scene_embedding_std,cam4_scene_complexity,cam4_avg_motion_magnitude,cam4_motion_entropy,cam4_directional_flow_left,cam4_directional_flow_right,cam4_directional_flow_up,cam4_directional_flow_down,cam4_density_score,cam4_queue_length,cam4_flow_rate,cam2_vehicle_count,cam2_car_count,cam2_truck_count,cam2_motorcycle_count,cam2_bus_count,cam2_avg_vehicle_speed,cam2_speed_variance,cam2_stopped_vehicles,cam2_vehicles_entering,cam2_vehicles_exiting,cam2_vehicles_in_lanes_left,cam2_vehicles_in_lanes_center,cam2_vehicles_in_lanes_right,cam2_vehicles_in_lanes_top,cam2_vehicles_in_lanes_middle,cam2_vehicles_in_lanes_bottom,cam2_occupancy_by_zone_left,cam2_occupancy_by_zone_center,cam2_occupancy_by_zone_right,cam2_occupancy_by_zone_top,cam2_occupancy_by_zone_middle,cam2_occupancy_by_zone_bottom,cam2_scene_embedding_mean,cam2_scene_embedding_std,cam2_scene_complexity,cam2_avg_motion_magnitude,cam2_motion_entropy,cam2_directional_flow_left,cam2_directional_flow_right,cam2_directional_flow_up,cam2_directional_flow_down,cam2_density_score,cam2_queue_length,cam2_flow_rate,cam1_vehicle_count,cam1_car_count,cam1_truck_count,cam1_motorcycle_count,cam1_bus_count,cam1_avg_vehicle_speed,cam1_speed_variance,cam1_stopped_vehicles,cam1_vehicles_entering,cam1_vehicles_exiting,cam1_vehicles_in_lanes_left,cam1_vehicles_in_lanes_center,cam1_vehicles_in_lanes_right,cam1_vehicles_in_lanes_top,cam1_vehicles_in_lanes_middle,cam1_vehicles_in_lanes_bottom,cam1_occupancy_by_zone_left,cam1_occupancy_by_zone_center,cam1_occupancy_by_zone_right,cam1_occupancy_by_zone_top,cam1_occupancy_by_zone_middle,cam1_occupancy_by_zone_bottom,cam1_scene_embedding_mean,cam1_scene_embedding_std,cam1_scene_complexity,cam1_avg_motion_magnitude,cam1_motion_entropy,cam1_directional_flow_left,cam1_directional_flow_right,cam1_directional_flow_up,cam1_directional_flow_down,cam1_density_score,cam1_queue_length,cam1_flow_rate
seg_0000,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0001,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0002,free flowing,free flowing,0.0,0.16193656093489148,0.0,0.0,0.0,4.520111560821533,4.00809383392334,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992430448532104,0.8564117550849915,0.011157382279634476,0.023080842569470406,3.5715062182055184,0.45457219437482593,0.545427805625174,0.4592018240044556,0.5407981759955444,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0003,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0004,free flowing,free flowing,0.0,0.15191986644407346,0.0,0.0,0.0,5.697893142700195,5.734996318817139,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1050598621368408,0.8635745048522949,0.01367875188589096,0.02169487252831459,3.5717488870033263,0.44819340016708437,0.5518065998329156,0.4524575327206906,0.5475424672793093,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0005,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0006,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0007,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0008,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seg_0009,free flowing,free flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
