segment_id,time_segment_id,cam1_filename,cam2_filename,cam3_filename,cam4_filename,congestion_enter_rating,congestion_exit_rating,date,timestamp_start,cycle_phase
seg_0000,0,normanniles1/normanniles1_2025-10-20-06-00-45.mp4,normanniles2/normanniles2_2025-10-20-06-00-45.mp4,normanniles3/normanniles3_2025-10-20-06-00-45.mp4,normanniles4/normanniles4_2025-10-20-06-00-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:00:45,train
seg_0001,1,normanniles1/normanniles1_2025-10-20-06-01-45.mp4,normanniles2/normanniles2_2025-10-20-06-01-45.mp4,normanniles3/normanniles3_2025-10-20-06-01-45.mp4,normanniles4/normanniles4_2025-10-20-06-01-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:01:45,train
seg_0002,2,normanniles1/normanniles1_2025-10-20-06-02-45.mp4,normanniles2/normanniles2_2025-10-20-06-02-45.mp4,normanniles3/normanniles3_2025-10-20-06-02-45.mp4,normanniles4/normanniles4_2025-10-20-06-02-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:02:45,train
seg_0003,3,normanniles1/normanniles1_2025-10-20-06-03-45.mp4,normanniles2/normanniles2_2025-10-20-06-03-45.mp4,normanniles3/normanniles3_2025-10-20-06-03-45.mp4,normanniles4/normanniles4_2025-10-20-06-03-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:03:45,train
seg_0004,4,normanniles1/normanniles1_2025-10-20-06-04-45.mp4,normanniles2/normanniles2_2025-10-20-06-04-45.mp4,normanniles3/normanniles3_2025-10-20-06-04-45.mp4,normanniles4/normanniles4_2025-10-20-06-04-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:04:45,train
seg_0005,5,normanniles1/normanniles1_2025-10-20-06-05-45.mp4,normanniles2/normanniles2_2025-10-20-06-05-45.mp4,normanniles3/normanniles3_2025-10-20-06-05-45.mp4,normanniles4/normanniles4_2025-10-20-06-05-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:05:45,train
seg_0006,6,normanniles1/normanniles1_2025-10-20-06-06-45.mp4,normanniles2/normanniles2_2025-10-20-06-06-45.mp4,normanniles3/normanniles3_2025-10-20-06-06-45.mp4,normanniles4/normanniles4_2025-10-20-06-06-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:06:45,train
seg_0007,7,normanniles1/normanniles1_2025-10-20-06-07-45.mp4,normanniles2/normanniles2_2025-10-20-06-07-45.mp4,normanniles3/normanniles3_2025-10-20-06-07-45.mp4,normanniles4/normanniles4_2025-10-20-06-07-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:07:45,train
seg_0008,8,normanniles1/normanniles1_2025-10-20-06-08-45.mp4,normanniles2/normanniles2_2025-10-20-06-08-45.mp4,normanniles3/normanniles3_2025-10-20-06-08-45.mp4,normanniles4/normanniles4_2025-10-20-06-08-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:08:45,train
seg_0009,9,normanniles1/normanniles1_2025-10-20-06-09-45.mp4,normanniles2/normanniles2_2025-10-20-06-09-45.mp4,normanniles3/normanniles3_2025-10-20-06-09-45.mp4,normanniles4/normanniles4_2025-10-20-06-09-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:09:45,train
seg_0010,10,normanniles1/normanniles1_2025-10-20-06-10-45.mp4,normanniles2/normanniles2_2025-10-20-06-10-45.mp4,normanniles3/normanniles3_2025-10-20-06-10-45.mp4,normanniles4/normanniles4_2025-10-20-06-10-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:10:45,train
seg_0011,11,normanniles1/normanniles1_2025-10-20-06-11-45.mp4,normanniles2/normanniles2_2025-10-20-06-11-45.mp4,normanniles3/normanniles3_2025-10-20-06-11-45.mp4,normanniles4/normanniles4_2025-10-20-06-11-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:11:45,train
seg_0012,12,normanniles1/normanniles1_2025-10-20-06-12-45.mp4,normanniles2/normanniles2_2025-10-20-06-12-45.mp4,normanniles3/normanniles3_2025-10-20-06-12-45.mp4,normanniles4/normanniles4_2025-10-20-06-12-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:12:44,train
seg_0013,13,normanniles1/normanniles1_2025-10-20-06-13-45.mp4,normanniles2/normanniles2_2025-10-20-06-13-45.mp4,normanniles3/normanniles3_2025-10-20-06-13-45.mp4,normanniles4/normanniles4_2025-10-20-06-13-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:13:45,train
seg_0014,14,normanniles1/normanniles1_2025-10-20-06-14-45.mp4,normanniles2/normanniles2_2025-10-20-06-14-45.mp4,normanniles3/normanniles3_2025-10-20-06-14-45.mp4,normanniles4/normanniles4_2025-10-20-06-14-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:14:45,train
seg_0015,15,normanniles1/normanniles1_2025-10-20-06-15-45.mp4,normanniles2/normanniles2_2025-10-20-06-15-45.mp4,normanniles3/normanniles3_2025-10-20-06-15-45.mp4,normanniles4/normanniles4_2025-10-20-06-15-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:15:45,train
seg_0016,16,normanniles1/normanniles1_2025-10-20-06-16-45.mp4,normanniles2/normanniles2_2025-10-20-06-16-45.mp4,normanniles3/normanniles3_2025-10-20-06-16-45.mp4,normanniles4/normanniles4_2025-10-20-06-16-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:16:45,train
seg_0017,17,normanniles1/normanniles1_2025-10-20-06-17-45.mp4,normanniles2/normanniles2_2025-10-20-06-17-45.mp4,normanniles3/normanniles3_2025-10-20-06-17-45.mp4,normanniles4/normanniles4_2025-10-20-06-17-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:17:45,train
seg_0018,18,normanniles1/normanniles1_2025-10-20-06-18-45.mp4,normanniles2/normanniles2_2025-10-20-06-18-45.mp4,normanniles3/normanniles3_2025-10-20-06-18-45.mp4,normanniles4/normanniles4_2025-10-20-06-18-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:18:45,train
seg_0019,19,normanniles1/normanniles1_2025-10-20-06-19-45.mp4,normanniles2/normanniles2_2025-10-20-06-19-45.mp4,normanniles3/normanniles3_2025-10-20-06-19-45.mp4,normanniles4/normanniles4_2025-10-20-06-19-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:19:45,train
seg_0020,20,normanniles1/normanniles1_2025-10-20-06-20-45.mp4,normanniles2/normanniles2_2025-10-20-06-20-45.mp4,normanniles3/normanniles3_2025-10-20-06-20-45.mp4,normanniles4/normanniles4_2025-10-20-06-20-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:20:45,train
seg_0021,21,normanniles1/normanniles1_2025-10-20-06-21-45.mp4,normanniles2/normanniles2_2025-10-20-06-21-45.mp4,normanniles3/normanniles3_2025-10-20-06-21-45.mp4,normanniles4/normanniles4_2025-10-20-06-21-45.mp4,free flowing,free flowing,2025-10-20,2025-10-20 06:21:45,train
